Name,Party
Michael Bennet,Democrat
Joe   Biden,Democrat
Cory Booker,Democrat
Steve Bullock,Democrat
Pete Buttigieg,Democrat
Bill de Blasio,Democrat
Juliam Castro,Democrat
John Delany,Democrat
Tulsi Gabbard,Democrat
Mike Gravel,Democrat
Kamala Harries,Democrat
John Hickenlooper,Democrat
Jay Inslee,Democrat
Amy Klobuchar,Democrat
Seth Moulton,Democrat
Wayne Messam,Democrat
Bete O’Rourke,Democrat
Tim Ryan,Democrat
Bernie Sanders,Democrat
Eric Swalwell,Democrat
Elizabeth Warren,Democrat
Marianne Williamson,Democrat
Andrew Yang,Democrat
